FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
1001,Afghanistan,Afghanistan,Afghanistan,2021-03-08 05:24:48,33.93911,67.709953,55847,2449,4234,4020,Afghanistan,143.46103267025944,4.385195265636471
,Afghanistan,,Albania,2021-03-08 05:24:48,41.1533,20.1683,112897,1939,75190,35768,Albania,3923.031482382376,1.7174947075653029
,,,Andorra,2021-03-08 05:24:48,42.5063,1.5218,11042,112,10626,304,Andorra,14291.07616644017,1.0143090019923926
,,Australian Capital Territory,Australia,2021-03-08 05:24:48,-35.4735,149.0124,122,3,115,4,"Australian Capital Territory, Australia",28.49801448259752,2.459016393442623
,,Diamond Princess,Canada,2020-12-21 13:27:30,,,0,1,0,,"Diamond Princess, Canada",,
,,Unknown,China,2020-11-25 05:27:20,,,0,0,0,0,"Unknown, China",0.0,0.0
,,Unknown,Colombia,2021-01-02 05:22:33,,,0,0,,0,"Unknown, Colombia",,
